"customer_id","gender","date_of_birth_raw","date_of_birth","state","contact","segment"
21868593,Female,"12-Jan-79",1979-01-12,VT,"789-916-8172",Platinum
75740424,Female,"13-Jan-70",1970-01-13,ME,"265-543-1264",Silver
30308357,Female,"11-Mar-84",1984-03-11,TN,"798-631-4758",Silver
47830476,Female,"01-May-86",1986-05-01,MA,"413-187-7945",Silver
19269962,Male,"13-May-77",1977-05-13,NV,"956-871-8691",Gold
21831191,Male,"17-May-77",1977-05-17,NH,"419-712-8513",Gold
18401412,Male,"02-Mar-99",1999-03-02,AR,"752-398-2914",Gold
73486606,Male,"25-Oct-99",1999-10-25,AK,"256-968-9172",Silver
32813689,Male,"12-Oct-93",1993-10-12,ID,"142-324-7481",Silver
33507197,Female,"09-Sep-66",1966-09-09,RI,"165-519-4583",Gold
99103685,Female,"30-Dec-85",1985-12-30,KY,"764-439-9856",Gold
51583214,Male,"31-Oct-99",1999-10-31,NH,"743-486-5264",Platinum
35875366,Male,"16-Sep-90",1990-09-16,MD,"954-964-1746",Platinum
21240703,Male,"22-Jul-63",1963-07-22,MD,"473-561-2675",Silver
18288638,Female,"14-Jan-69",1969-01-14,MI,"314-135-1359",Platinum
63240241,Male,"26-Jul-77",1977-07-26,ME,"843-379-4796",Silver
1407979,Male,"15-Mar-87",1987-03-15,RI,"165-217-1648",Silver
63916778,Male,"07-Sep-66",1966-09-07,IL,"146-157-4572",Platinum
17004138,Female,"13-Aug-65",1965-08-13,WA,"436-354-4682",Silver
9667764,Female,"10-Oct-79",1979-10-10,SC,"643-978-8251",Platinum
75584003,Female,"22-Apr-67",1967-04-22,OK,"723-418-3248",Silver
90012444,Male,"08-Aug-74",1974-08-08,KS,"749-961-7265",Platinum
10665308,Male,"21-Jun-99",1999-06-21,CT,"324-971-8395",Silver
35597589,Female,"17-Feb-80",1980-02-17,IN,"826-731-3964",Gold
1924109,Male,"13-Dec-81",1981-12-13,UT,"431-179-6475",Gold
12871942,Female,"01-Apr-95",1995-04-01,IN,"591-436-5176",Platinum
32155446,Male,"07-May-85",1985-05-07,AZ,"847-936-7645",Gold
35876516,Male,"29-Oct-96",1996-10-29,IL,"496-426-6748",Silver
13265356,Female,"27-Jul-62",1962-07-27,IA,"462-587-7532",Silver
80379865,Male,"27-Feb-69",1969-02-27,NM,"427-513-8479",Gold
64899302,Male,"17-Jul-94",1994-07-17,WI,"784-623-7631",Platinum
11278282,Male,"12-Apr-68",1968-04-12,RI,"148-178-1792",Silver
90425966,Male,"23-Dec-71",1971-12-23,WY,"942-259-7583",Silver
70459181,Female,"03-Sep-88",1988-09-03,NY,"493-937-8297",Platinum
91546921,Male,"22-Sep-74",1974-09-22,LA,"496-784-4836",Platinum
26489135,Male,"05-Oct-94",1994-10-05,DE,"654-456-1493",Platinum
76422302,Male,"04-Jun-89",1989-06-04,GA,"958-971-7983",Gold
27205554,Male,"12-Apr-76",1976-04-12,RI,"521-912-8139",Silver
60225946,Female,"27-Aug-77",1977-08-27,OH,"715-356-4572",Gold
34790013,Male,"17-Jan-79",1979-01-17,NY,"935-615-6297",Platinum
53333796,Male,"23-May-90",1990-05-23,RI,"857-215-9123",Gold
28307541,Male,"14-Dec-81",1981-12-14,WY,"763-156-1836",Gold
85536059,Female,"26-Apr-75",1975-04-26,SD,"145-285-4675",Platinum
54642094,Male,"10-Aug-95",1995-08-10,NY,"963-813-1973",Silver
47091036,Male,"22-Oct-86",1986-10-22,SD,"247-436-8713",Gold
48277275,Male,"27-Mar-96",1996-03-27,WV,"928-469-4368",Silver
75252854,Male,"30-Aug-95",1995-08-30,NH,"542-927-5413",Gold
31012778,Female,"09-Jun-93",1993-06-09,MA,"328-683-8359",Gold
84571128,Female,"16-Aug-95",1995-08-16,ME,"946-639-5932",Gold
38286862,Female,"24-Nov-94",1994-11-24,NJ,"791-831-2514",Gold
1163515,Female,"03-Feb-95",1995-02-03,TX,"978-352-7634",Silver
18361978,Female,"10-Jul-94",1994-07-10,CA,"463-645-2453",Platinum
94953428,Female,"07-Dec-77",1977-12-07,DE,"671-517-9548",Gold
42333031,Female,"25-Oct-70",1970-10-25,WV,"972-361-7416",Platinum
91786228,Female,"26-Dec-63",1963-12-26,TN,"826-243-9763",Gold
61051505,Male,"05-Feb-68",1968-02-05,OH,"649-461-2967",Platinum
8132649,Male,"23-Sep-75",1975-09-23,SD,"436-953-6352",Platinum
49428676,Female,"27-Sep-77",1977-09-27,TX,"587-946-2153",Silver
